model,perturbation,mAP50,mAP50-95,precision,recall,F1,clean_mAP50,delta
baseline,clean,0.7759,0.4477,0.768,0.7191,0.7428,0.7759,0.0
baseline,bright_+40,0.509,0.2563,0.6359,0.4969,0.5579,0.7759,-0.2669
baseline,dark_-40,0.5461,0.2824,0.6367,0.518,0.5713,0.7759,-0.2298
baseline,low_contrast,0.7664,0.4423,0.7756,0.7013,0.7366,0.7759,-0.0095
baseline,blur_k7,0.7556,0.4347,0.764,0.6857,0.7228,0.7759,-0.0203
baseline,noise,0.1397,0.0689,0.2811,0.1485,0.1943,0.7759,-0.6362
baseline,fog,0.3911,0.1996,0.5014,0.4386,0.4679,0.7759,-0.3848
improved,clean,0.7496,0.424,0.7264,0.6857,0.7054,0.7496,0.0
improved,bright_+40,0.4893,0.2412,0.5798,0.4822,0.5265,0.7496,-0.2603
improved,dark_-40,0.558,0.2857,0.6383,0.5141,0.5695,0.7496,-0.1916
improved,low_contrast,0.7347,0.4151,0.7316,0.6638,0.6961,0.7496,-0.0149
improved,blur_k7,0.7162,0.4034,0.7176,0.6524,0.6834,0.7496,-0.0334
improved,noise,0.1022,0.0489,0.2422,0.1068,0.1483,0.7496,-0.6474
improved,fog,0.3747,0.1888,0.459,0.4169,0.4369,0.7496,-0.3749
