model,conf,iou,precision,recall,F1,mAP50
baseline,0.2,0.4,0.7759,0.7339,0.7543,0.7025
baseline,0.2,0.5,0.7732,0.7362,0.7543,0.7057
baseline,0.2,0.6,0.7649,0.7363,0.7503,0.7086
baseline,0.2,0.7,0.7648,0.7191,0.7412,0.7062
baseline,0.25,0.4,0.7667,0.7424,0.7543,0.6883
baseline,0.25,0.5,0.76,0.7481,0.754,0.6882
baseline,0.25,0.6,0.7461,0.7512,0.7486,0.6908
baseline,0.25,0.7,0.7648,0.7191,0.7412,0.693
baseline,0.3,0.4,0.7912,0.7148,0.751,0.6656
baseline,0.3,0.5,0.7868,0.7189,0.7513,0.6692
baseline,0.3,0.6,0.7764,0.7205,0.7474,0.6686
baseline,0.3,0.7,0.7598,0.7217,0.7403,0.6673
baseline,0.35,0.4,0.8139,0.689,0.7463,0.6414
baseline,0.35,0.5,0.8102,0.6922,0.7465,0.6495
baseline,0.35,0.6,0.8032,0.6936,0.7444,0.6492
baseline,0.35,0.7,0.792,0.6945,0.74,0.6482
baseline,0.4,0.4,0.8349,0.6554,0.7344,0.6211
baseline,0.4,0.5,0.8321,0.6572,0.7344,0.6211
baseline,0.4,0.6,0.8279,0.6581,0.7333,0.6209
baseline,0.4,0.7,0.8218,0.6583,0.731,0.6202
baseline,0.5,0.4,0.8744,0.5879,0.7031,0.5616
baseline,0.5,0.5,0.8741,0.5887,0.7036,0.5616
baseline,0.5,0.6,0.8721,0.5889,0.703,0.5616
baseline,0.5,0.7,0.8686,0.5889,0.7019,0.5612
improved,0.2,0.4,0.7357,0.7166,0.726,0.6756
improved,0.2,0.5,0.7394,0.7114,0.7251,0.6786
improved,0.2,0.6,0.7403,0.6998,0.7195,0.6794
improved,0.2,0.7,0.7254,0.6864,0.7053,0.6745
improved,0.25,0.4,0.7446,0.7111,0.7275,0.6511
improved,0.25,0.5,0.7347,0.716,0.7252,0.6539
improved,0.25,0.6,0.7179,0.7185,0.7182,0.6561
improved,0.25,0.7,0.7195,0.695,0.707,0.6521
improved,0.3,0.4,0.7786,0.6728,0.7218,0.621
improved,0.3,0.5,0.7713,0.6764,0.7207,0.6247
improved,0.3,0.6,0.7579,0.6779,0.7157,0.6271
improved,0.3,0.7,0.7333,0.68,0.7056,0.624
improved,0.35,0.4,0.8104,0.6345,0.7117,0.5938
improved,0.35,0.5,0.8065,0.6368,0.7117,0.5936
improved,0.35,0.6,0.7981,0.6382,0.7092,0.5927
improved,0.35,0.7,0.7792,0.6394,0.7024,0.5942
improved,0.4,0.4,0.8398,0.5929,0.6951,0.5568
improved,0.4,0.5,0.8365,0.5942,0.6949,0.561
improved,0.4,0.6,0.8303,0.5948,0.6931,0.5604
improved,0.4,0.7,0.8164,0.5957,0.6888,0.5587
improved,0.5,0.4,0.888,0.5022,0.6415,0.4794
improved,0.5,0.5,0.8873,0.5031,0.6421,0.4794
improved,0.5,0.6,0.8851,0.5031,0.6416,0.4791
improved,0.5,0.7,0.8779,0.5035,0.64,0.4784
